start	end	text
878420	884180	Plus 11 bottles of Hendrix Gin.
884180	890740	Plus 5 more bottles of Farmer's Gin, Farmer's Organic Gin.
890740	896200	Plus 2 more bottles of Tanqueray.
896200	901560	Plus 5 more bottles of Crop Organic Cucumber Vodka.
901560	918600	Plus 4 more bottles of Crop Organic Lemon Flavored Vodka, 1 liter bottles.
918600	925360	And like the crop bottle, all the crop bottles, they're all 1 liters.
925360	942000	Just to be clear, 2 bottles of 1 liter Grey Goose bottles, 3 750 milliliter Grey Goose
942000	955280	bottles, 7 Tito's bottles, 3 Wheatley's bottles,
955280	961640	7 bottles of Crown Royal.
961640	966480	And those Crown Royal are on top of the shit I was talking about earlier, and that's how
966480	968360	we're going to do it always.
968360	972600	If I tell you a count of something at one point, the next time I mention a count of
972600	978960	something should be on top of the first one.
978960	997320	12 bottles of Meyer's Dark Rum, 5 bottles of Maker's Mark, 7 bottles of Jim Beam, 1
997320	1027240	bottle of Tullamore Dew, 11 bottles of Fireball, 10 bottles of Jack Daniel's, 10 bottles of
1027920	1057160	Grand Gala, 5 bottles of Woodford Reserve, 7 bottles of Takeray, 12 bottles of Jameson,
1057160	1070560	12 bottles of Jägermeister, 12 more bottles of Wheatley's, 1 bottle of Chambord, 1 bottle
1070560	1082600	of Eagle Rare Tenier, 2 bottles of Nocello, Walnut Liqueur, 3 bottles of Tia Maria Cold
1082600	1093680	Brew Coffee Liqueur, 2 and 3 quarter bottles of Campari, 5 bottles of Aperol, 1 bottle
1093680	1115120	of Peach Schnapps, 12 cans of Susan Momwaters plus 8 more cans of Karen aka Lemon Blueberry
1115120	1140520	Momwaters, 15 bottles
1140520	1165800	of Parrot Bay White Rum, 9 bottles of Parrot Bay Coconut Rum,
1165800	1186560	18 bottles of Triple Sec of Mr. Boston Triple Sec, 12 bottles of Blue Curacao,
1186560	1214800	6 bottles of Romana Amaro, 11 bottles of Rumple Mints, 7 bottles of Bowls Elderflower,
1215680	1223520	2 bottles of Grand Marnier, 5 bottles of Campesino Silver Rum,
1223520	1240280	10 bottles of Caravella Limoncello, 2 bottles of Papas Pilar.
1240280	1258320	Alright so I paused the recording so this is low key like 5 minutes later and I'm at my truck
1258320	1267680	where I have a bunch more shit that we need to count including 1 six pack of these Mezcal
1267680	1276760	Siete Mestadios bottles and again those are 750 milliliters a piece just like they all are,
1276760	1299560	2 cases of Margarita Mix, 2 six bottle cases of Squealing Pig,
1299560	1318360	1 12 bottle case of Pueblo Viejo, 1 12 bottle case of Marque Caceres Cava Brute,
1318360	1325720	the fucking Prosecco I don't know the name of, 1 12 bottle case of Scarpetta,
1325720	1347160	1 more case of Squealing Pig, those 6 bottle cases of Squealing Pig,
1347160	1371120	2 more cases of Watermelon Mixer,
1371120	1395080	2 more cases of Margarita Mix, 2 more cases of Marque Caceres Cava Brute,
