"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"Bag Shop Kft 10x5x13","Paper and Disposables","","1","No","No","250 Each","$61.75"
"Bag Shop Kft 10x5x13 - KMISSY","Paper and Disposables","","1","No","No","250 Each","$61.75"
"Bag Shop Kft 16X6X12","Paper and Disposables","","1","No","No","250 Each","$68.00"
"Bag Zip Lock Gallon Food Storage 1.75mil","Paper and Disposables","","1","No","No","250 Each","$23.02"
"Bags of Ice","Meals & Entertainment","","1","No","No","Bag","$2.00"
"Baking Powder","Grocery and Dry Goods","","1","Yes","No","Pound","$4.95"
"Balance due in full upon completion of wood flooring labor as bid (estimate#24082R)- Seashore Floor Co.,Inc","Repairs & Maintenance","","1","No","No","Other","$188.70"
"Balvenie 14yr Caribbean Cask Single Malt Scotch","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$89.10"
"Bar Mix, Bloody Mary","N/A Beverage Cost","","1","Yes","No","Bottle","$5.63"
"Bar Mix, Bushwacker","Grocery and Dry Goods","","1","Yes","No","Bottle","$11.58"
"Bar Mix, Cosmopolitan","Liquor Cost","","1","No","No","Bottle (750 Milliliters)","$5.25"
"Bar Mix, Lime Juice","N/A Beverage Cost","","1","Yes","No","Bottle","$5.75"
"Bar Mix, Margarita","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$5.25"
"Bar Mix, Margarita 64oz Bottle","N/A Beverage Cost","","6","No","No","margarita man (Bottle)","$6.89"
"Bar Mix, Margarita Man Blue Hawailan 64oz","N/A Beverage Cost","","1","No","No","Bottle","$11.58"
"Bar Mix, Margarita Strawberry 64oz","N/A Beverage Cost","","1","Yes","No","margarita man (Bottle)","$11.58"
"Bar Mix, Mojito","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$5.25"
"Bar Mix, Pina Colada","N/A Beverage Cost","","1","Yes","No","Liter","$4.25"
"Bar Mix, Watermelon","Liquor Cost","","3","Yes","No","Bottle (750 Milliliters)","$5.25"
"Bar Mop Towel 16¨x19¨","Cleaning Supplies","","1","No","No","Pack","$11.82"
"Bax Mix, Margarita Mango Bananas 64oz","N/A Beverage Cost","","1","No","No","margarita man (Bottle)","$11.58"
"Beans, Black Can","Grocery and Dry Goods","","4","Yes","No","Can","$6.14"
"Beans, Garbanzo Dry","Grocery and Dry Goods","","1","Yes","No","Pound","$1.62"
"Beef, Ground","Meat","","8","Yes","No","Pound","$5.95"
"Beef, Patty","Meat","","1","Yes","No","Each","$2.86"
"Beef, Philly Steak","Meat","","3","No","No","Pound","$8.02"
"Beef, Wagyu Ground","Meat","","1","No","No","Pound","$7.75"
"Bib Apron - Black","Linens & Uniform Cost","","1","No","No","Each","$0.33"
"Bib Apron - Black_L","Linens & Uniform Cost","","1","No","No","Case","$3.30"
"Blanton's Single Barrel Bourbon","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$62.10"
"Bleach Disinf Liq Jug Clr","Cleaning Supplies","","1","No","No","6 Gallons","$22.77"
"Blk Cutlery Kit Ps Hvy","Paper and Disposables","","1","No","No","250 Each","$27.75"
"Blue Curacao","Liquor Cost","","1","Yes","No","Bottle (Liter)","$4.05"
"Bols Elderflower Liqueur","Liquor Cost","","2","Yes","No","Bottle (Liter)","$19.00"
"Bottle Deposit - Liquor (.05)","Liquor Cost","","1","No","No","Each","$0.05"
"Bowl Food Wht Foam 6OZ","Paper and Disposables","","1","No","No","1000 Each","$47.25"
"Bread, French Roll","Bread","","1","Yes","No","Each","$2.46"
"Bread, Hamburger Bun GF","Bread","","7","Yes","No","Each","$1.02"
"Bread, Po Boy","Bread","","1","Yes","No","Each","$2.78"
"Bread, Potato Bun","Bread","","1","Yes","No","Each","$0.45"
"Bread, Potato Roll","Bread","","3","No","No","Each","$0.54"
"Bread, Potato Sandwich","Bread","","8","No","No","Case","$20.50"
"Bread, Texas Toast","Bread","","3","Yes","No","Case","$28.99"
"Broccoli, Fresh","Produce","","1","Yes","No","Each","$3.38"
"Broken Key","R & M","","1","No","No","Other","$95.00"
"Broom Angel W/ Vinyl Handle","Cleaning Supplies","","1","No","No","Each","$7.25"
"Broom Angle Blk Lobby Sm","Cleaning Supplies","","1","No","No","Each","$4.00"
"Broom, Angle 12"" W Polypropylen","Cleaning Supplies","","1","No","No","Each","$14.39"
"Brussel Sprouts, Roasted","Grocery and Dry Goods","","1","Yes","No","Each","$10.00"
"Brute/32Gal/Ld/Blk/Rdll-","Linens & Uniform Cost","","1","No","No","Each","$7.00"
"Brute/55GAL/Ld/Blk/Roll-","Paper and Disposables","","1","No","No","Each","$13.54"
"Bucket  Sntzr 3 Qt Plst Red","Cleaning Supplies","","1","No","No","Each","$7.85"
"Bucket  Sntzr 6 Qt Plst Red","Cleaning Supplies","","1","No","No","Each","$8.48"
"Butter, Unsalted","Dairy","","1","Yes","No","Pound","$3.33"
"Buttermilk","Dairy","","3","Yes","No","Gallon","$8.90"
"Cake, Blueberry Crumb","Grocery and Dry Goods","","1","Yes","No","Each","$9.00"
"Cake, Chocolate Peanut Butter","Grocery and Dry Goods","","1","Yes","No","Each","$37.47"
"Cake, Red Velvet","Grocery and Dry Goods","","1","Yes","No","Each","$30.87"
"Campari","Liquor Cost","","1","Yes","No","Bottle (Liter)","$42.21"
"Campesino Aged Rum","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$28.00"
"Campesino Silver Rum","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$17.00"
"Camsquare Food Container, 12 Qt, 11-1/4""l x 11-1/4"" x 12-1/4"" x 8-3/4"", Translucent, Blue Grad","Restaurant Supplies","","1","No","No","12 Quarts","$17.06"
"Camsquare Food Container, 22 Qt,11-1/4"" L x 11-1/4"" x 12-1/4"" x 15-3/4"", Translucent , Blue","Restaurant Supplies","","1","No","No","22 Quarts","$29.09"
"Can, Liner 50/60 Gal Black","Paper and Disposables","","1","No","No","100 Each","$32.00"
"Canoe Ridge Merlot","Wine Cost","","1","Yes","No","750 Milliliters","$8.00"
"Canvas Papillon Rectangular 10'X15' Heather Beige (5476) With Roof Structure","Furniture & Fixtures","15000","1","No","No","Each","$1,425.20"
"Canvas Papillon Rectangular 10'X15' Heather Beige (5476) With Roof Structure (Sample)","Furniture & Fixtures","15000","1","No","No","Each","$1,247.05"
"Captain Morgan White Rum","Liquor Cost","","3","No","No","Bottle (750 Milliliters)","$13.75"
"Caravella Limoncello","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$16.50"
"Carbon Dioxide Empties Only Coca Cola Only","N/A Beverage Cost","","1","Yes","No","20 Pounds","$75.00"
"Carbon Dioxide Full","Restaurant Supplies","","1","No","No","20 Pounds","$131.81"
"Caribaby White Rum","Liquor Cost","","1","No","No","Bottle (Liter)","$5.25"
"Carrier Cup 2Compt Board Kft","Paper and Disposables","","1","No","No","250 Each","$76.75"
"Carrots, Diced","Grocery and Dry Goods","","2","Yes","No","Can (10 Pounds)","$16.50"
"Carrots, Shredded","Produce","","3","Yes","No","Pound","$2.65"
"Carter's Lot Rose Of Pinot Noir 2020","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Casamigos Blanco Tequila","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$53.40"
"Cash & Carry Free Flow Speed Pourer Tapered, Collar","Restaurant Supplies","","1","No","No","Dozen","$13.14"
"Cash & Carry PourMaster Complete Unit,Quart, Ner Easy Grip Neck & Cap,Assorted Color-coded Cap","Restaurant Supplies","","1","No","No","Dozen","$62.37"
"Cat6 Audio Extender","R & M","","1","No","No","Each","$19.95"
"Caulk & Paint In Restrooms","Repairs & Maintenance","","1","No","No","Other","$300.00"
"Caymus Cabernet Sauvignon","Wine Cost","","0","No","No","Bottle (750 Milliliters)","$16.00"
"Caymus Suisun The Walking Fool Red Blend","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$16.00"
"Cereal, Grain Bobs Red Mill","Grocery and Dry Goods","","1","Yes","No","Each","$4.63"
"Chambord","Liquor Cost","","1","Yes","No","Bottle (700 Milliliters)","$27.90"
"Charcuterie","Meat","","1","Yes","No","Each","$15.00"
"Charles De Fere Jean-Louis Cuvee Blanc De Blancs Brut","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$6.75"
"Check Fryer","Repairs & Maintenance","","1","No","No","Other","$206.25"
"Cheese, American Sliced","Dairy","","9","Yes","No","Pound","$3.38"
"Cheese, Brie","Dairy","","1","No","No","Pound","$9.91"
"Cheese, Cheddar Curds","Grocery and Dry Goods","","3","No","No","Pound","$4.82"
"Cheese, Cheddar Shredded","Dairy","","1","Yes","No","LB (Pound)","$3.61"
"Cheese, Cheddar Sliced","Dairy","","3","No","No","Pound","$4.44"
"Cheese, Cheddar/Monterey Jack Shredded","Dairy","","2","Yes","No","Pound","$2.86"
"Cheese, Curd Breaded","Dairy","","3","Yes","No","Pound (Pound)","$6.24"
"Cheese, Goat","Dairy","","5","Yes","No","Pound","$11.56"
"Cheese, Pepper Jack Sliced","Dairy","","5","Yes","No","Pound","$4.50"
"Cheese, Queso","Dairy","","2","No","No","Pound","$3.08"
"Cheese, Queso Hatch","Dairy","","2","Yes","No","Pound","$2.98"
"Cheese, Swiss Sliced","Dairy","","10","Yes","No","Pound","$4.26"
"Cheesecake, Plain","Grocery and Dry Goods","","0","Yes","No","8 (Slice)","$5.63"
"Cheesecake, Raspberry Swirl","Dairy","","1","Yes","No","Each","$31.57"
"Cheesecake, Salted Caramel Pecan","Grocery and Dry Goods","","1","Yes","No","Each","$10.00"
"Cherries, Bada Bing","Grocery and Dry Goods","","1","Yes","No","Jar (13.5 Ounces)","$11.49"
"Cherries, Maraschino","Grocery and Dry Goods","","2","Yes","No","Gallon","$49.75"
"Cherry, Dark Sweet Can","Grocery and Dry Goods","","1","Yes","No","Can","$27.07"
"Chicken, Breast","Meat","","11","Yes","No","Pound","$3.76"
"Chicken, Tenders","Meat","","9","No","No","Pound","$4.34"
"Chicken, Tenders Breaded","Meat","","2","Yes","No","Pound","$4.08"
"Chicken, Thighs Honey Boneless","Meat","","1","Yes","No","Each","$16.00"
"Chicken, Wings","Meat","","9","Yes","No","Pound","$5.28"
"Chili","Grocery and Dry Goods","","1","No","No","Each","$22.22"
"Chipotle Chili Powder","Grocery and Dry Goods","","0","No","No","Pound (Pound)","$23.27"
"Chips, Potato .5oz","Grocery and Dry Goods","","1","Yes","No","Bag","$0.27"
"Chips, Tortilla","Grocery and Dry Goods","","6","No","No","Pound","$0.93"
"Churros","Grocery and Dry Goods","","1","Yes","No","Case","$50.00"
"Cilantro, Fresh","Produce","","1","Yes","No","Pound","$9.08"
"Clean Trash Bin Areas","R & M","","1","No","No","Other","$400.00"
"Cleaner  Flr F20 Liq Jug Red","Cleaning Supplies","","1","No","No","4 Gallons","$75.20"
"Cleaner Degrsr Greaselift Rtu","Cleaning Supplies","","1","No","No","4 Each","$51.35"
"Cleaner Degrsr Hgh Tmp Grl Rtu","Cleaning Supplies","","1","No","No","30 Each","$45.95"
"Cleaner Grl And Panini Hgh Tmp","Cleaning Supplies","","1","No","No","60 Each","$145.49"
"Cleaner, Gril Hi Temp K45 Liq","Cleaning Supplies","","1","No","No","30 Bottles","$64.28"
"Cleaning - Yesis Professional Cleaners LLC","Dues & Subscriptions","","1","No","No","Other","$800.00"
"Cleaning and service Charges - JWB Holdings Inc.","Repairs & Maintenance","","1","No","No","Other","$6,100.00"
"Cleaning Charges","R & M","","1","No","No","Other","$900.00"
"Cleaning Chem Disp","Linens & Uniform Cost","","1","No","No","Other","$3.11"
"Cleaning fee","Meals & Entertainment","","1","No","No","Other","$50.00"
"Club Soda 10oz Bottle","N/A Beverage Cost","","2","No","No","Bottle","$1.14"
"Cockroach/Rodent Program - Ecolab Pest Elimination","R & M","","1","No","No","Other","$108.78"
"Cockroach/Rodent Program- Ecolab Pest Elimination","R & M","","1","No","No","Other","$108.78"
"Coffee, Ground 2oz","N/A Beverage Cost","","1","No","No","Each (2 Ounces)","$1.23"
"Coke 8oz Can","N/A Beverage Cost","","1","No","No","Can","$0.44"
"Coke BIB","N/A Beverage Cost","","4","No","No","Gallon","$23.92"
"Coke Zero BIB","N/A Beverage Cost","","3","No","No","Gallon","$25.76"
"Coleslaw Mix","Produce","","1","Yes","No","Pound","$1.47"
"Commercial Tree Maintanence-III","Landscape Maintenance","","1","No","No","Other","$720.00"
"Communications With Irs And Fl Dept Of Labor","Dues & Subscriptions","","1","No","No","Other","$500.00"
"Cont 1 Comp H/l Xlge Black/Clear","Paper and Disposables","","1","No","No","148 Each","$69.17"
"Cont Hinged 47.5OZ Blk/Clr pp","Paper and Disposables","","1","No","No","120 Each","$59.25"
"Container  Fm 6 Z Sqt Wht","Paper and Disposables","","1","No","No","1000 Each","$39.99"
"Container 9x9x3 1 Cmpt Polyp","Paper and Disposables","","1","No","No","150 Each","$92.38"
"Container, 1 CMP Blk 5.75X5.75","Paper and Disposables","","1","No","No","504 Each","$37.79"
"Cooler Rentals Charges","Meals & Entertainment","","1","No","No","Other","$700.00"
"Cooler, Hot Box Stemo, Ice Buckets","Meals & Entertainment","","1","No","No","Box","$350.00"
"Coors Light 12oz Can","Beer Cost","","2","Yes","No","Can","$1.33"
"Corazon Blanco Tequila","Liquor Cost","","1","No","No","Bottle (Liter)","$15.00"
"Corn Dogs Mini","Grocery and Dry Goods","","1","No","No","Pound","$3.92"
"Corn Nuggets","Grocery and Dry Goods","","1","No","No","Pound","$2.97"
"Corn Starch","Grocery and Dry Goods","","3","Yes","No","Pound","$3.24"
"Corn, Fire Roasted","Produce","","1","Yes","No","Pound","$2.59"
"Corona 12oz Can","Beer Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.63"
"Cover, For 12, 18 & 22 Qt Containers, Hylene, Nsf","Restaurant Supplies","","1","No","No","Each","$5.51"
"Cranberries, Fresh","Produce","","1","Yes","No","Each","$2.48"
"Cream Cheese","Dairy","","1","Yes","No","Pound","$3.32"
"Cream Of Coconut","N/A Beverage Cost","","3","Yes","No","Each","$3.15"
"Crop Cucumber Vodka","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$11.25"
"Crop Harvest Organic Meyer Lemon Vodka","Liquor Cost","","1","Yes","No","Bottle (Liter)","$15.00"
"Crown Royal Whiskey","Liquor Cost","","1","Yes","No","Bottle (Liter)","$38.00"
"Cup  Sfle Plyst 2 Z Blk Ptn","Paper and Disposables","","1","No","No","2400 Each","$39.49"
"Cup Carrier 4 W/Handle 12-32OZ","Paper and Disposables","","1","No","No","12 Each","$96.60"
"Cup Pet Plst 20 Z Cld Clr","Paper and Disposables","","1","No","No","720 Each","$87.87"
"Cup Plas Clear 20 Oz Pet","Paper and Disposables","","1","No","No","1000 Each","$48.41"
"Cup Plyst 9 Z Sqt Tmblr Clr","Paper and Disposables","","1","No","No","500 Each","$63.69"
"Cup Portion Blk 2 OZ","Paper and Disposables","","1","No","No","2500 Each","$35.25"
"Cup Portion Blk 2OZ","Paper and Disposables","","1","No","No","2500 Each","$35.25"
"Cup, Fm 10OZ Wht","Paper and Disposables","","1","No","No","1000 Each","$30.79"
"Cups, Clear 20OZ Pet","Paper and Disposables","","1","No","No","Each","$73.00"
"Cups, Clear, 12OZ Pet","Paper and Disposables","","1","No","No","1000 Each","$70.25"
"Current Charge - Chelco","Dues & Subscriptions","","1","No","No","Other","$1,376.89"
"Current Charges - Retail First Insurance Company","Workers Compensation","","1","No","No","Other","$282.00"
"Current Charges- DirecTV","Cable Services","","1","No","No","Other","$540.48"
"Cyl Emty 20Lb Co2 #1","N/A Beverage Cost","","3","No","No","20 Pounds","$75.00"
"D9 High Rise Blood Orange 12oz Can","Beer Cost","","1","No","No","Can (12 Fluid Ounces)","$3.06"
"Decoded Russian River Pinot Noir","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Degreaser  Ap K43 Liq Spray","Cleaning Supplies","","1","No","No","6 Bottles","$49.00"
"Degreaser,  Ap K16 Liq Jug Ylw","Cleaning Supplies","","1","No","No","4 Gallons","$55.23"
"Dessert Display","Meals & Entertainment","","1","No","No","Each","$8.00"
"Detergent  Pot   Pan Mnl Profs","Cleaning Supplies","","1","No","No","4 Gallons","$69.98"
"Detergent, Dish Mnl Liq Btl","Cleaning Supplies","","1","No","No","8 Each","$48.28"
"Diagnostic Fee - Odis Brown Heating & Cooling","Repairs & Maintenance","","1","No","No","Other","$89.00"
"Diet Coke 8oz Can","N/A Beverage Cost","","2","No","No","Can","$0.46"
"Diet Coke BIB","N/A Beverage Cost","","5","No","No","Gallon","$24.41"
"Dill, Fresh","Produce","","1","Yes","No","Pound","$15.76"
"Dinner Fork, 18/0 stainless steel, satin finish, heavy weight, 2.2 mm thick, Conrad","Kitchen Supplies","","1","No","No","Dozen","$9.52"
"Dinner Knife, 18/0 stainless steel, satin finish, 1-piece, heavy weight. Conrad","Kitchen Supplies","","1","No","No","Dozen","$14.29"
"Dip, Poppin' Pimento","Grocery and Dry Goods","","1","Yes","No","Pound","$7.00"
"Diplomatico 8yr Mantuano Rum","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$18.25"
"Disher  Levr 4 Z S S Gry #8","Cleaning Supplies","","1","No","No","Each","$13.24"
"Disinfectant Wipes/800Ct/ White","Cleaning Supplies","","1","No","No","800 Each","$60.00"
"Disp Commode Mat Svc","Cleaning Supplies","","1","No","No","Each","$2.00"
"Disp Napkin 13X8.5 Xpressnap","Paper and Disposables","","1","No","No","6000 Each","$59.00"
"Disp Restroom Mat Svc","Linens & Uniform Cost","","1","No","No","Each","$2.60"
"Disp Urinal Mat Svc","Cleaning Supplies","","1","No","No","Each","$8.00"
"Dispenser  Sqz Btl 32 Z Plyln","Kitchen Supplies","","1","No","No","6 Bottles","$15.84"
"District Womens Perfect Blend Cvc V-Neck Tee","Merchandise Cost","","1","No","No","Each","$13.26"
"District Womens Perfect Blend Cvc V-Neck Tee_2x","Merchandise Cost","","1","No","No","Each","$14.90"
"District Womens Perfect Blend Cvc V-Neck Tee_Xs","Merchandise Cost","","1","No","No","Each","$13.26"
"Domaine St Michelle Brut","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Dr Pepper BIB","N/A Beverage Cost","","3","No","No","Gallon","$24.10"
"Dressing Mix, Ranch","Grocery and Dry Goods","","5","Yes","No","Each (Each)","$2.77"
"Dressing, Balsamic Vinaigrette","Grocery and Dry Goods","","6","Yes","No","Gallon","$14.37"
"Dressing, Blue Cheese","Grocery and Dry Goods","","5","Yes","No","Gallon","$22.26"
"Dressing, Honey Mustard","Grocery and Dry Goods","","3","Yes","No","Gallon","$86.98"
"Dual Heat Lamp, 19-1/4"" X13-3/4"" X23"" H.","Restaurant Supplies","","1","No","No","Each","$110.00"
"Dust Cap, 1/2""L, For Pour Spouts","Restaurant Supplies","","1","No","No","Dozen","$22.88"
"Dust Pan, Lobby 12  Plst W","Cleaning Supplies","","1","No","No","Each","$20.73"
"Eagle Rare 10yr Bourbon","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$39.60"
"Egg Substitute","Grocery and Dry Goods","","2","Yes","No","Bag (Bag)","$17.45"
"Egg, Vegan Powder","Grocery and Dry Goods","","1","Yes","No","Each","$13.04"
"Eggs","Dairy","","0","No","No","Oz (Ounce)","$1.85"
"Eggs, Liquid Whole","Dairy","","3","No","No","LB (Pound)","$1.37"
"Eggs, Liquid Yolks","Dairy","","2","Yes","No","2 LBS (2 Pounds)","$4.42"
"EH Taylor Small Batch Bourbon","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$43.35"
"El Jimador Cristalino Tequila","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$24.60"
"Electrical Parts - 50 amp 2 pole breaker","Repairs & Maintenance","","1","No","No","Other","$112.00"
"Elite Fixed Frame 135 inch 16x9 Projector Screen","Repairs & Maintenance","","1","No","No","Each","$350.00"
"Elouan Pinot Noir 2021","Wine Cost","","1","No","No","Bottle (750 Milliliters)","$12.00"
"Eluoan","Wine Cost","","0","No","No","Bottle (Bottle)","$12.00"
"Epic Western Tequila Soda 355ML Can","Liquor Cost","","2","No","No","Can (355 Milliliters)","$2.80"
"Epson Workforce Es-580W Wireless Color Duplex Desktop Document Scanner for PC and Mac with 100-sheet Auto Document Feeder (ADF) and Intuitive 4.3"" Touchscreen","Office Supplies","","1","No","No","Each","$329.99"
"Epson Workforce Es-580w Wireless Scanner","Office Supplies","","1","No","No","Each","$360.51"
"Equipment Rentals","Rent Expense","","1","No","No","Other","$200.00"
"Event Beer","Meals & Entertainment","","1","No","No","Each","$38.00"
"Event Liquor","Liquor Cost","","1","Yes","No","Each","$466.00"
"Event Wine","Meals & Entertainment","","1","No","No","Each","$33.00"
"Extract, Vanilla Imitation","Grocery and Dry Goods","","0","No","No","OZ (Fluid Ounce)","$3.94"
"F/K/T S&P 13X17 Napkin","Paper and Disposables","","1","No","No","250 Each","$20.00"
"Fairhope I Drink Therefore I Amber Keg (1/6BBL)","Beer Cost","","1","Yes","No","Keg (1/6BBL) 5.16GAL","$83.00"
"Faretti Espresso Liqueur","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$27.30"
"Farmers Organic Gin","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$21.00"
